,survived,pclass,sex,age,fare,who,embark_town,alone
174,0,1,male,56.0,30.6958,man,Cherbourg,True
175,0,3,male,18.0,7.8542,man,Southampton,False
176,0,3,male,,25.4667,man,Southampton,False
177,0,1,female,50.0,28.7125,woman,Cherbourg,True
178,0,2,male,30.0,13.0,man,Southampton,True
179,0,3,male,36.0,0.0,man,Southampton,True
180,0,3,female,,69.55,woman,Southampton,False
181,0,2,male,,15.05,man,Cherbourg,True
182,0,3,male,9.0,31.3875,child,Southampton,False
183,1,2,male,1.0,39.0,child,Southampton,False
184,1,3,female,4.0,22.025,child,Southampton,False
185,0,1,male,,50.0,man,Southampton,True
186,1,3,female,,15.5,woman,Queenstown,False
187,1,1,male,45.0,26.55,man,Southampton,True
188,0,3,male,40.0,15.5,man,Queenstown,False
189,0,3,male,36.0,7.8958,man,Southampton,True
190,1,2,female,32.0,13.0,woman,Southampton,True
191,0,2,male,19.0,13.0,man,Southampton,True
192,1,3,female,19.0,7.8542,woman,Southampton,False
193,1,2,male,3.0,26.0,child,Southampton,False
194,1,1,female,44.0,27.7208,woman,Cherbourg,True
195,1,1,female,58.0,146.5208,woman,Cherbourg,True
196,0,3,male,,7.75,man,Queenstown,True
197,0,3,male,42.0,8.4042,man,Southampton,False
198,1,3,female,,7.75,woman,Queenstown,True
199,0,2,female,24.0,13.0,woman,Southampton,True
200,0,3,male,28.0,9.5,man,Southampton,True
201,0,3,male,,69.55,man,Southampton,False
202,0,3,male,34.0,6.4958,man,Southampton,True
203,0,3,male,45.5,7.225,man,Cherbourg,True
204,1,3,male,18.0,8.05,man,Southampton,True
205,0,3,female,2.0,10.4625,child,Southampton,False
206,0,3,male,32.0,15.85,man,Southampton,False
207,1,3,male,26.0,18.7875,man,Cherbourg,True
208,1,3,female,16.0,7.75,woman,Queenstown,True
209,1,1,male,40.0,31.0,man,Cherbourg,True
210,0,3,male,24.0,7.05,man,Southampton,True
211,1,2,female,35.0,21.0,woman,Southampton,True
212,0,3,male,22.0,7.25,man,Southampton,True
213,0,2,male,30.0,13.0,man,Southampton,True
214,0,3,male,,7.75,man,Queenstown,False
215,1,1,female,31.0,113.275,woman,Cherbourg,False
216,1,3,female,27.0,7.925,woman,Southampton,True
217,0,2,male,42.0,27.0,man,Southampton,False
218,1,1,female,32.0,76.2917,woman,Cherbourg,True
219,0,2,male,30.0,10.5,man,Southampton,True
220,1,3,male,16.0,8.05,man,Southampton,True
221,0,2,male,27.0,13.0,man,Southampton,True
222,0,3,male,51.0,8.05,man,Southampton,True
223,0,3,male,,7.8958,man,Southampton,True
224,1,1,male,38.0,90.0,man,Southampton,False
225,0,3,male,22.0,9.35,man,Southampton,True
226,1,2,male,19.0,10.5,man,Southampton,True
227,0,3,male,20.5,7.25,man,Southampton,True
228,0,2,male,18.0,13.0,man,Southampton,True
229,0,3,female,,25.4667,woman,Southampton,False
230,1,1,female,35.0,83.475,woman,Southampton,False
231,0,3,male,29.0,7.775,man,Southampton,True
232,0,2,male,59.0,13.5,man,Southampton,True
233,1,3,female,5.0,31.3875,child,Southampton,False
234,0,2,male,24.0,10.5,man,Southampton,True
235,0,3,female,,7.55,woman,Southampton,True
236,0,2,male,44.0,26.0,man,Southampton,False
237,1,2,female,8.0,26.25,child,Southampton,False
238,0,2,male,19.0,10.5,man,Southampton,True
239,0,2,male,33.0,12.275,man,Southampton,True
240,0,3,female,,14.4542,woman,Cherbourg,False
241,1,3,female,,15.5,woman,Queenstown,False
242,0,2,male,29.0,10.5,man,Southampton,True
243,0,3,male,22.0,7.125,man,Southampton,True
244,0,3,male,30.0,7.225,man,Cherbourg,True
245,0,1,male,44.0,90.0,man,Queenstown,False
246,0,3,female,25.0,7.775,woman,Southampton,True
247,1,2,female,24.0,14.5,woman,Southampton,False
248,1,1,male,37.0,52.5542,man,Southampton,False
249,0,2,male,54.0,26.0,man,Southampton,False
250,0,3,male,,7.25,man,Southampton,True
251,0,3,female,29.0,10.4625,woman,Southampton,False
252,0,1,male,62.0,26.55,man,Southampton,True
253,0,3,male,30.0,16.1,man,Southampton,False
254,0,3,female,41.0,20.2125,woman,Southampton,False
255,1,3,female,29.0,15.2458,woman,Cherbourg,False
256,1,1,female,,79.2,woman,Cherbourg,True
257,1,1,female,30.0,86.5,woman,Southampton,True
258,1,1,female,35.0,512.3292,woman,Cherbourg,True
259,1,2,female,50.0,26.0,woman,Southampton,False
260,0,3,male,,7.75,man,Queenstown,True
261,1,3,male,3.0,31.3875,child,Southampton,False
262,0,1,male,52.0,79.65,man,Southampton,False
263,0,1,male,40.0,0.0,man,Southampton,True
264,0,3,female,,7.75,woman,Queenstown,True
265,0,2,male,36.0,10.5,man,Southampton,True
266,0,3,male,16.0,39.6875,man,Southampton,False
267,1,3,male,25.0,7.775,man,Southampton,False
268,1,1,female,58.0,153.4625,woman,Southampton,False
269,1,1,female,35.0,135.6333,woman,Southampton,True
270,0,1,male,,31.0,man,Southampton,True
271,1,3,male,25.0,0.0,man,Southampton,True
272,1,2,female,41.0,19.5,woman,Southampton,False
273,0,1,male,37.0,29.7,man,Cherbourg,False
274,1,3,female,,7.75,woman,Queenstown,True
275,1,1,female,63.0,77.9583,woman,Southampton,False
276,0,3,female,45.0,7.75,woman,Southampton,True
277,0,2,male,,0.0,man,Southampton,True
278,0,3,male,7.0,29.125,child,Queenstown,False
279,1,3,female,35.0,20.25,woman,Southampton,False
280,0,3,male,65.0,7.75,man,Queenstown,True
281,0,3,male,28.0,7.8542,man,Southampton,True
282,0,3,male,16.0,9.5,man,Southampton,True
283,1,3,male,19.0,8.05,man,Southampton,True
284,0,1,male,,26.0,man,Southampton,True
285,0,3,male,33.0,8.6625,man,Cherbourg,True
286,1,3,male,30.0,9.5,man,Southampton,True
287,0,3,male,22.0,7.8958,man,Southampton,True
288,1,2,male,42.0,13.0,man,Southampton,True
289,1,3,female,22.0,7.75,woman,Queenstown,True
290,1,1,female,26.0,78.85,woman,Southampton,True
291,1,1,female,19.0,91.0792,woman,Cherbourg,False
292,0,2,male,36.0,12.875,man,Cherbourg,True
293,0,3,female,24.0,8.85,woman,Southampton,True
294,0,3,male,24.0,7.8958,man,Southampton,True
295,0,1,male,,27.7208,man,Cherbourg,True
296,0,3,male,23.5,7.2292,man,Cherbourg,True
297,0,1,female,2.0,151.55,child,Southampton,False
298,1,1,male,,30.5,man,Southampton,True
299,1,1,female,50.0,247.5208,woman,Cherbourg,False
300,1,3,female,,7.75,woman,Queenstown,True
301,1,3,male,,23.25,man,Queenstown,False
302,0,3,male,19.0,0.0,man,Southampton,True
303,1,2,female,,12.35,woman,Queenstown,True
304,0,3,male,,8.05,man,Southampton,True
305,1,1,male,0.92,151.55,child,Southampton,False
306,1,1,female,,110.8833,woman,Cherbourg,True
307,1,1,female,17.0,108.9,woman,Cherbourg,False
308,0,2,male,30.0,24.0,man,Cherbourg,False
309,1,1,female,30.0,56.9292,woman,Cherbourg,True
310,1,1,female,24.0,83.1583,woman,Cherbourg,True
311,1,1,female,18.0,262.375,woman,Cherbourg,False
312,0,2,female,26.0,26.0,woman,Southampton,False
313,0,3,male,28.0,7.8958,man,Southampton,True
314,0,2,male,43.0,26.25,man,Southampton,False
315,1,3,female,26.0,7.8542,woman,Southampton,True
316,1,2,female,24.0,26.0,woman,Southampton,False
317,0,2,male,54.0,14.0,man,Southampton,True
318,1,1,female,31.0,164.8667,woman,Southampton,False
319,1,1,female,40.0,134.5,woman,Cherbourg,False
320,0,3,male,22.0,7.25,man,Southampton,True
321,0,3,male,27.0,7.8958,man,Southampton,True
322,1,2,female,30.0,12.35,woman,Queenstown,True
323,1,2,female,22.0,29.0,woman,Southampton,False
324,0,3,male,,69.55,man,Southampton,False
325,1,1,female,36.0,135.6333,woman,Cherbourg,True
326,0,3,male,61.0,6.2375,man,Southampton,True
327,1,2,female,36.0,13.0,woman,Southampton,True
328,1,3,female,31.0,20.525,woman,Southampton,False
329,1,1,female,16.0,57.9792,woman,Cherbourg,False
330,1,3,female,,23.25,woman,Queenstown,False
331,0,1,male,45.5,28.5,man,Southampton,True
332,0,1,male,38.0,153.4625,man,Southampton,False
333,0,3,male,16.0,18.0,man,Southampton,False
334,1,1,female,,133.65,woman,Southampton,False
335,0,3,male,,7.8958,man,Southampton,True
336,0,1,male,29.0,66.6,man,Southampton,False
337,1,1,female,41.0,134.5,woman,Cherbourg,True
338,1,3,male,45.0,8.05,man,Southampton,True
339,0,1,male,45.0,35.5,man,Southampton,True
340,1,2,male,2.0,26.0,child,Southampton,False
341,1,1,female,24.0,263.0,woman,Southampton,False
342,0,2,male,28.0,13.0,man,Southampton,True
343,0,2,male,25.0,13.0,man,Southampton,True
344,0,2,male,36.0,13.0,man,Southampton,True
345,1,2,female,24.0,13.0,woman,Southampton,True
346,1,2,female,40.0,13.0,woman,Southampton,True
347,1,3,female,,16.1,woman,Southampton,False
348,1,3,male,3.0,15.9,child,Southampton,False
349,0,3,male,42.0,8.6625,man,Southampton,True
350,0,3,male,23.0,9.225,man,Southampton,True
351,0,1,male,,35.0,man,Southampton,True
352,0,3,male,15.0,7.2292,child,Cherbourg,False
353,0,3,male,25.0,17.8,man,Southampton,False
354,0,3,male,,7.225,man,Cherbourg,True
355,0,3,male,28.0,9.5,man,Southampton,True
356,1,1,female,22.0,55.0,woman,Southampton,False
357,0,2,female,38.0,13.0,woman,Southampton,True
358,1,3,female,,7.8792,woman,Queenstown,True
359,1,3,female,,7.8792,woman,Queenstown,True
360,0,3,male,40.0,27.9,man,Southampton,False
361,0,2,male,29.0,27.7208,man,Cherbourg,False
362,0,3,female,45.0,14.4542,woman,Cherbourg,False
363,0,3,male,35.0,7.05,man,Southampton,True
364,0,3,male,,15.5,man,Queenstown,False
365,0,3,male,30.0,7.25,man,Southampton,True
366,1,1,female,60.0,75.25,woman,Cherbourg,False
367,1,3,female,,7.2292,woman,Cherbourg,True
368,1,3,female,,7.75,woman,Queenstown,True
369,1,1,female,24.0,69.3,woman,Cherbourg,True
370,1,1,male,25.0,55.4417,man,Cherbourg,False
371,0,3,male,18.0,6.4958,man,Southampton,False
372,0,3,male,19.0,8.05,man,Southampton,True
373,0,1,male,22.0,135.6333,man,Cherbourg,True
374,0,3,female,3.0,21.075,child,Southampton,False
375,1,1,female,,82.1708,woman,Cherbourg,False
376,1,3,female,22.0,7.25,woman,Southampton,True
377,0,1,male,27.0,211.5,man,Cherbourg,False
378,0,3,male,20.0,4.0125,man,Cherbourg,True
379,0,3,male,19.0,7.775,man,Southampton,True
380,1,1,female,42.0,227.525,woman,Cherbourg,True
381,1,3,female,1.0,15.7417,child,Cherbourg,False
382,0,3,male,32.0,7.925,man,Southampton,True
383,1,1,female,35.0,52.0,woman,Southampton,False
384,0,3,male,,7.8958,man,Southampton,True
385,0,2,male,18.0,73.5,man,Southampton,True
386,0,3,male,1.0,46.9,child,Southampton,False
387,1,2,female,36.0,13.0,woman,Southampton,True
388,0,3,male,,7.7292,man,Queenstown,True
389,1,2,female,17.0,12.0,woman,Cherbourg,True
390,1,1,male,36.0,120.0,man,Southampton,False
391,1,3,male,21.0,7.7958,man,Southampton,True
392,0,3,male,28.0,7.925,man,Southampton,False
393,1,1,female,23.0,113.275,woman,Cherbourg,False
394,1,3,female,24.0,16.7,woman,Southampton,False
395,0,3,male,22.0,7.7958,man,Southampton,True
396,0,3,female,31.0,7.8542,woman,Southampton,True
397,0,2,male,46.0,26.0,man,Southampton,True
398,0,2,male,23.0,10.5,man,Southampton,True
399,1,2,female,28.0,12.65,woman,Southampton,True
400,1,3,male,39.0,7.925,man,Southampton,True
401,0,3,male,26.0,8.05,man,Southampton,True
402,0,3,female,21.0,9.825,woman,Southampton,False
403,0,3,male,28.0,15.85,man,Southampton,False
404,0,3,female,20.0,8.6625,woman,Southampton,True
405,0,2,male,34.0,21.0,man,Southampton,False
406,0,3,male,51.0,7.75,man,Southampton,True
407,1,2,male,3.0,18.75,child,Southampton,False
408,0,3,male,21.0,7.775,man,Southampton,True
409,0,3,female,,25.4667,woman,Southampton,False
410,0,3,male,,7.8958,man,Southampton,True
411,0,3,male,,6.8583,man,Queenstown,True
412,1,1,female,33.0,90.0,woman,Queenstown,False
413,0,2,male,,0.0,man,Southampton,True
414,1,3,male,44.0,7.925,man,Southampton,True
415,0,3,female,,8.05,woman,Southampton,True
416,1,2,female,34.0,32.5,woman,Southampton,False
417,1,2,female,18.0,13.0,woman,Southampton,False
418,0,2,male,30.0,13.0,man,Southampton,True
419,0,3,female,10.0,24.15,child,Southampton,False
420,0,3,male,,7.8958,man,Cherbourg,True
421,0,3,male,21.0,7.7333,man,Queenstown,True
422,0,3,male,29.0,7.875,man,Southampton,True
423,0,3,female,28.0,14.4,woman,Southampton,False
424,0,3,male,18.0,20.2125,man,Southampton,False
425,0,3,male,,7.25,man,Southampton,True
426,1,2,female,28.0,26.0,woman,Southampton,False
427,1,2,female,19.0,26.0,woman,Southampton,True
428,0,3,male,,7.75,man,Queenstown,True
429,1,3,male,32.0,8.05,man,Southampton,True
430,1,1,male,28.0,26.55,man,Southampton,True
431,1,3,female,,16.1,woman,Southampton,False
432,1,2,female,42.0,26.0,woman,Southampton,False
433,0,3,male,17.0,7.125,man,Southampton,True
434,0,1,male,50.0,55.9,man,Southampton,False
435,1,1,female,14.0,120.0,child,Southampton,False
436,0,3,female,21.0,34.375,woman,Southampton,False
437,1,2,female,24.0,18.75,woman,Southampton,False
438,0,1,male,64.0,263.0,man,Southampton,False
439,0,2,male,31.0,10.5,man,Southampton,True
440,1,2,female,45.0,26.25,woman,Southampton,False
441,0,3,male,20.0,9.5,man,Southampton,True
442,0,3,male,25.0,7.775,man,Southampton,False
443,1,2,female,28.0,13.0,woman,Southampton,True
444,1,3,male,,8.1125,man,Southampton,True
445,1,1,male,4.0,81.8583,child,Southampton,False
446,1,2,female,13.0,19.5,child,Southampton,False
447,1,1,male,34.0,26.55,man,Southampton,True
448,1,3,female,5.0,19.2583,child,Cherbourg,False
449,1,1,male,52.0,30.5,man,Southampton,True
450,0,2,male,36.0,27.75,man,Southampton,False
451,0,3,male,,19.9667,man,Southampton,False
452,0,1,male,30.0,27.75,man,Cherbourg,True
453,1,1,male,49.0,89.1042,man,Cherbourg,False
454,0,3,male,,8.05,man,Southampton,True
455,1,3,male,29.0,7.8958,man,Cherbourg,True
456,0,1,male,65.0,26.55,man,Southampton,True
457,1,1,female,,51.8625,woman,Southampton,False
458,1,2,female,50.0,10.5,woman,Southampton,True
459,0,3,male,,7.75,man,Queenstown,True
460,1,1,male,48.0,26.55,man,Southampton,True
461,0,3,male,34.0,8.05,man,Southampton,True
462,0,1,male,47.0,38.5,man,Southampton,True
463,0,2,male,48.0,13.0,man,Southampton,True
464,0,3,male,,8.05,man,Southampton,True
465,0,3,male,38.0,7.05,man,Southampton,True
466,0,2,male,,0.0,man,Southampton,True
467,0,1,male,56.0,26.55,man,Southampton,True
468,0,3,male,,7.725,man,Queenstown,True
469,1,3,female,0.75,19.2583,child,Cherbourg,False
470,0,3,male,,7.25,man,Southampton,True
471,0,3,male,38.0,8.6625,man,Southampton,True
472,1,2,female,33.0,27.75,woman,Southampton,False
473,1,2,female,23.0,13.7917,woman,Cherbourg,True
474,0,3,female,22.0,9.8375,woman,Southampton,True
475,0,1,male,,52.0,man,Southampton,True
476,0,2,male,34.0,21.0,man,Southampton,False
477,0,3,male,29.0,7.0458,man,Southampton,False
478,0,3,male,22.0,7.5208,man,Southampton,True
479,1,3,female,2.0,12.2875,child,Southampton,False
480,0,3,male,9.0,46.9,child,Southampton,False
481,0,2,male,,0.0,man,Southampton,True
482,0,3,male,50.0,8.05,man,Southampton,True
483,1,3,female,63.0,9.5875,woman,Southampton,True
484,1,1,male,25.0,91.0792,man,Cherbourg,False
485,0,3,female,,25.4667,woman,Southampton,False
486,1,1,female,35.0,90.0,woman,Southampton,False
487,0,1,male,58.0,29.7,man,Cherbourg,True
488,0,3,male,30.0,8.05,man,Southampton,True
489,1,3,male,9.0,15.9,child,Southampton,False
490,0,3,male,,19.9667,man,Southampton,False
491,0,3,male,21.0,7.25,man,Southampton,True
492,0,1,male,55.0,30.5,man,Southampton,True
493,0,1,male,71.0,49.5042,man,Cherbourg,True
494,0,3,male,21.0,8.05,man,Southampton,True
495,0,3,male,,14.4583,man,Cherbourg,True
496,1,1,female,54.0,78.2667,woman,Cherbourg,False
497,0,3,male,,15.1,man,Southampton,True
498,0,1,female,25.0,151.55,woman,Southampton,False
499,0,3,male,24.0,7.7958,man,Southampton,True
500,0,3,male,17.0,8.6625,man,Southampton,True
501,0,3,female,21.0,7.75,woman,Queenstown,True
502,0,3,female,,7.6292,woman,Queenstown,True
503,0,3,female,37.0,9.5875,woman,Southampton,True
504,1,1,female,16.0,86.5,woman,Southampton,True
505,0,1,male,18.0,108.9,man,Cherbourg,False
506,1,2,female,33.0,26.0,woman,Southampton,False
507,1,1,male,,26.55,man,Southampton,True
508,0,3,male,28.0,22.525,man,Southampton,True
509,1,3,male,26.0,56.4958,man,Southampton,True
510,1,3,male,29.0,7.75,man,Queenstown,True
511,0,3,male,,8.05,man,Southampton,True
512,1,1,male,36.0,26.2875,man,Southampton,True
513,1,1,female,54.0,59.4,woman,Cherbourg,False
514,0,3,male,24.0,7.4958,man,Southampton,True
515,0,1,male,47.0,34.0208,man,Southampton,True
516,1,2,female,34.0,10.5,woman,Southampton,True
517,0,3,male,,24.15,man,Queenstown,True
518,1,2,female,36.0,26.0,woman,Southampton,False
519,0,3,male,32.0,7.8958,man,Southampton,True
520,1,1,female,30.0,93.5,woman,Southampton,True
521,0,3,male,22.0,7.8958,man,Southampton,True
522,0,3,male,,7.225,man,Cherbourg,True
523,1,1,female,44.0,57.9792,woman,Cherbourg,False
524,0,3,male,,7.2292,man,Cherbourg,True
525,0,3,male,40.5,7.75,man,Queenstown,True
526,1,2,female,50.0,10.5,woman,Southampton,True
527,0,1,male,,221.7792,man,Southampton,True
528,0,3,male,39.0,7.925,man,Southampton,True
529,0,2,male,23.0,11.5,man,Southampton,False
530,1,2,female,2.0,26.0,child,Southampton,False
531,0,3,male,,7.2292,man,Cherbourg,True
532,0,3,male,17.0,7.2292,man,Cherbourg,False
533,1,3,female,,22.3583,woman,Cherbourg,False
534,0,3,female,30.0,8.6625,woman,Southampton,True
535,1,2,female,7.0,26.25,child,Southampton,False
536,0,1,male,45.0,26.55,man,Southampton,True
537,1,1,female,30.0,106.425,woman,Cherbourg,True
538,0,3,male,,14.5,man,Southampton,True
539,1,1,female,22.0,49.5,woman,Cherbourg,False
540,1,1,female,36.0,71.0,woman,Southampton,False
541,0,3,female,9.0,31.275,child,Southampton,False
542,0,3,female,11.0,31.275,child,Southampton,False
543,1,2,male,32.0,26.0,man,Southampton,False
544,0,1,male,50.0,106.425,man,Cherbourg,False
545,0,1,male,64.0,26.0,man,Southampton,True
546,1,2,female,19.0,26.0,woman,Southampton,False
